Temp (c), Acc
(-101)	(-2.98, -3.47, 8.53)	(-47.5, -5.5, -14.375)	(0.0, 0.002181661564992912, -0.00545415391248228)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(1693384263.7894976)
(27)	(-3.0100000000000002, -3.5, 8.51)	(-47.5, -5.5, -14.375)	(-0.002181661564992912, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(1693384263.8225763)
(27)	(-2.99, -3.49, 8.5)	(-47.5, -5.5, -14.375)	(-0.002181661564992912, 0.004363323129985824, -0.002181661564992912)	(0.0, 0.0, 0.0)	(1.0, 0.0, 0.0, 0.0)	(-3.0100000000000002, -3.5, -1.27)	(0.0, 0.0, 9.8)	(1693384263.8543413)
(-101)	(-2.99, -3.48, 8.53)	(-47.5, -5.5, -15.0625)	(0.001090830782496456, 0.002181661564992912, -0.003272492347489368)	(0.0, 0.0, 0.0)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.03, 0.03, -0.1)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384263.8812993)
(27)	(-3.0100000000000002, -3.49, 8.52)	(-47.5, -5.5, -15.0625)	(-0.003272492347489368, 0.006544984694978736, -0.002181661564992912)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.01, 0.05, -0.09)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384263.9089186)
(-101)	(-2.99, -3.48, 8.56)	(-47.75, -5.0625, -15.0625)	(-0.004363323129985824, 0.006544984694978736, 0.0)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.03, -0.08)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384263.9353416)
(-101)	(-2.98, -3.49, 8.51)	(-47.75, -5.0625, -15.0625)	(-0.002181661564992912, 0.00545415391248228, 0.0)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.04, 0.06, -0.11)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384263.9606025)
(-101)	(-3.0100000000000002, -3.49, 8.55)	(-48.1875, -5.0625, -13.5625)	(0.002181661564992912, -0.004363323129985824, -0.003272492347489368)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.0, 0.04, -0.07)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384263.9874077)
(-101)	(-2.99, -3.49, 8.540000000000001)	(-48.1875, -5.0625, -13.5625)	(-0.002181661564992912, 0.002181661564992912, 0.0)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.02, -0.12)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.0117133)
(27)	(-2.98, -3.48, 8.53)	(-48.875, -5.5, -14.0)	(-0.002181661564992912, -0.002181661564992912, 0.0)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.04, 0.04, -0.11)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.040231)
(-101)	(-2.97, -3.48, 8.52)	(-48.875, -5.5, -14.0)	(0.002181661564992912, 0.002181661564992912, -0.001090830782496456)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.04, 0.04, -0.1)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.0674644)
(-101)	(-2.99, -3.52, 8.51)	(-47.0625, -5.75, -14.0)	(-0.001090830782496456, 0.001090830782496456, 0.002181661564992912)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.04, -0.07)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.0988042)
(-101)	(-2.99, -3.49, 8.540000000000001)	(-47.0625, -5.75, -14.0)	(-0.002181661564992912, 0.004363323129985824, 0.0)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.06, -0.09)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.1267362)
(-101)	(-3.0, -3.5, 8.52)	(-47.75, -5.0625, -14.375)	(-0.001090830782496456, 0.003272492347489368, 0.003272492347489368)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.03, -0.08)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.1565332)
(-101)	(-3.0100000000000002, -3.5, 8.53)	(-48.5625, -5.75, -14.0)	(0.003272492347489368, 0.006544984694978736, -0.002181661564992912)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.03, -0.1)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.1854918)
(27)	(-2.99, -3.49, 8.53)	(-48.5625, -5.75, -14.0)	(-0.006544984694978736, 0.002181661564992912, 0.002181661564992912)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.03, 0.04, -0.07)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.2130134)
(27)	(-2.99, -3.48, 8.53)	(-48.1875, -5.75, -15.0625)	(-0.001090830782496456, 0.00545415391248228, -0.001090830782496456)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.04, -0.09)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.2416673)
